TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
1,1,24,8,1,,14000,,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,0,64,2,1,,5200,,0,1,0,0,0,1,0,1,0,1,0,0,0,,0
1,0,55,3,1,,400,0,0,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,36,2,0,,0,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,42,3,0,,4000,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,30,8,0,,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,,0
1,0,45,8,0,35,8000,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0,48,6,0,20,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0
1,0,28,3,0,0,2400,,1,0,1,0,0,0,0,1,0,1,1,0,0,,0
1,0,55,3,1,,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0
1,0,18,3,0,,2400,,1,0,1,0,0,0,0,,0,0,1,0,0,,0
0,0,65,2,1,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,49,2,0,,3600,0,0,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,53,3,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0
1,0,31,8,0,,8000,,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
1,0,38,3,0,,4800,0,0,0,1,0,0,1,0,,0,0,0,0,0,1,0
0,0,72,0,0,15,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,54,3,1,,4400,,0,0,1,0,0,0,0,1,0,0,0,0,0,,0
0,1,89,0,0,5,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,31,6,0,,1200,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,1
1,0,34,2,0,,3000,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1
1,0,48,3,0,20,3000,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0
0,0,50,3,0,,2400,0,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,30,6,0,,1600,,0,0,0,1,0,0,0,,0,1,1,0,0,,0
0,1,37,3,0,,10000,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,31,3,0,,0,,1,0,1,0,0,1,0,,0,0,0,0,0,,0
0,1,31,3,1,,12000,0,1,0,1,0,0,1,0,,0,0,1,0,0,,0
1,1,49,2,0,,3600,0,0,1,0,0,0,0,0,,0,1,1,0,0,,0
0,0,74,8,1,,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,36,3,0,,12000,1,1,0,1,0,0,0,0,,1,1,1,0,0,,0
0,0,49,0,0,,4000,,1,0,0,0,0,0,0,,0,0,0,0,0,,0
1,1,52,3,0,,10000,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,54,6,1,,4800,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0
1,1,53,2,1,,3600,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,0
1,1,37,3,0,30,8000,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0
1,1,39,0,1,,4000,0,1,0,0,0,0,0,0,,0,0,0,0,0,,0
1,0,50,3,1,,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,,0
0,0,46,8,0,3,16000,,1,0,0,0,1,1,1,1,0,0,0,0,0,,0
0,0,24,8,0,5,7600,,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
1,0,31,3,1,,800,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1,0,34,3,1,,0,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,21,8,0,,0,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,32,0,1,,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,,0
